update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,2775.132616811681,0,-0.008333330353101095,0.7932877271943679,-1.8499993085861206,1.0,64.25,36.401980257489654,16.0,100.0,1.3313142508268356,0.21629212610423565,0.1244119917973876,0.044960811734199524,0.18384376,-0.008333330353101095,0.7932877271943679,-1.8499993085861206,1.0
2,4096,2617.7500014475445,1,0.349999956109307,0.5411477631971169,-1.4999996423721313,1.0,47.70454545454545,27.305992969788072,8.0,100.0,1.2830179780721664,0.2668643519282341,-0.051022702595219016,0.08511874172836542,0.31230077,0.349999956109307,0.5411477631971169,-1.4999996423721313,1.0
3,6144,2621.196822560407,2,0.5458332979016833,0.32614650506250337,-0.5500000715255737,1.0,31.25,19.207022731860924,10.0,100.0,1.1908579468727112,0.4111268073320389,-0.16382054425776005,0.07474005967378616,0.28072605,0.5458332979016833,0.32614650506250337,-0.5500000715255737,1.0
4,8192,2320.847472958814,3,0.6969298035429236,0.18523164404026193,0.09999984502792358,1.0,18.92982456140351,10.169372057280466,6.0,55.0,1.1147311627864838,0.5620737597346306,-0.22704624570906162,0.046250331215560436,0.5159243,0.6969298035429236,0.18523164404026193,0.09999984502792358,1.0
5,10240,2099.7356591117978,4,0.8041322290404769,0.1230780918281801,0.34999990463256836,1.0,16.330578512396695,10.19186876492833,6.0,58.0,0.9588601067662239,0.7199490144848824,-0.1605039183050394,0.0227080131880939,0.28050345,0.8041322290404769,0.1230780918281801,0.34999990463256836,1.0
6,12288,2286.804344162681,5,0.8213068226521666,0.10383552748408664,0.44999992847442627,1.0,12.159090909090908,7.617095550674101,6.0,56.0,0.7728260010480881,0.8176199421286583,-0.10280467476695776,0.00902780651813373,0.1489618,0.8213068226521666,0.10383552748408664,0.44999992847442627,1.0
7,14336,2316.6250782102898,5,0.8327586311718513,0.11038792440528575,-0.15000000596046448,1.0,13.151724137931035,14.178823955162372,6.0,100.0,0.8128573149442673,0.8318682461977005,0.002610775839912094,0.009297411947045475,0.16952482,0.8327586311718513,0.11038792440528575,-0.15000000596046448,1.0
8,16384,2412.748450941906,6,0.8344086104182786,0.08534512549149983,0.5999999642372131,1.0,11.78494623655914,11.265466751366397,6.0,86.0,0.8381985053420067,0.855712890625,-0.0004300846776459366,0.0054655541316606104,0.10573791,0.8344086104182786,0.08534512549149983,0.5999999642372131,1.0
9,18432,2510.6666417254346,7,0.8241573100009661,0.09660308811150228,0.2999998927116394,1.0,11.713483146067416,8.114485466408045,6.0,61.0,0.7907232195138931,0.8595027849078178,0.013264264212921262,0.006135407253168523,0.19064128,0.8241573100009661,0.09660308811150228,0.2999998927116394,1.0
10,20480,2499.4615763779007,8,0.8480874417258091,0.07116633817201529,0.5999999642372131,1.0,10.726775956284152,6.2359519927446,6.0,42.0,0.8712536692619324,0.8789958879351616,0.004546219584881328,0.0032448759011458606,0.07614247,0.8480874417258091,0.07116633817201529,0.5999999642372131,1.0
11,22528,2486.24079324131,9,0.8523936252644722,0.08649261658545611,0.4999999403953552,1.0,11.148936170212766,7.202921166884398,6.0,54.0,0.9061126038432121,0.8764557912945747,0.004723536691017216,0.003553467191522941,0.057946533,0.8523936252644722,0.08649261658545611,0.4999999403953552,1.0
12,24576,2395.7785424742137,10,0.8594594668697666,0.08608436767302885,0.5999999642372131,1.0,11.21081081081081,7.190375841914749,6.0,58.0,0.9132735878229141,0.8742829710245132,0.0008125932727125473,0.0039168851217255,0.114736944,0.8594594668697666,0.08608436767302885,0.5999999642372131,1.0
13,26624,2496.164795788046,10,0.8464705933542812,0.09100363259869176,0.4999999403953552,1.0,11.529411764705882,5.792669272540774,6.0,41.0,0.9478560090065002,0.8684528395533562,0.007921109019662254,0.004028357594506815,0.08086594,0.8464705933542812,0.09100363259869176,0.4999999403953552,1.0
14,28672,2577.3610538276503,11,0.8771186470985413,0.08503340544381038,0.6499999761581421,1.0,12.175141242937853,6.847644083903925,6.0,59.0,0.9682306349277496,0.885159894824028,-0.00615975093387533,0.0030211630219127983,0.065768994,0.8771186470985413,0.08503340544381038,0.6499999761581421,1.0
15,30720,2300.8767751908417,12,0.8862179533029214,0.08540508497226729,0.6499999761581421,1.0,12.448717948717949,6.386378605256492,6.0,36.0,0.9474717751145363,0.8801280707120895,-0.0008916607348510297,0.00347275662352331,0.13655281,0.8862179533029214,0.08540508497226729,0.6499999761581421,1.0
16,32768,2439.9923737585486,13,0.8838068236681548,0.08158059510755795,0.699999988079071,1.0,12.193181818181818,7.829660904281427,6.0,80.0,0.9369307309389114,0.8912016078829765,-0.0018474309472367167,0.0031576027104165405,0.07689857,0.8838068236681548,0.08158059510755795,0.699999988079071,1.0
17,34816,2396.3633561728866,14,0.8863888932598962,0.09110899049653083,0.5999999642372131,1.0,11.144444444444444,4.820237686880668,6.0,35.0,0.923956423997879,0.8911039382219315,-0.005209582479437813,0.003560816607205197,0.08554866,0.8863888932598962,0.09110899049653083,0.5999999642372131,1.0
18,36864,2414.3366572172354,15,0.8958549246269186,0.07808205235755247,0.6499999761581421,1.0,10.647668393782384,4.140061731897645,6.0,40.0,0.9349574148654938,0.9023883491754532,-0.01128665218129754,0.002077157099847682,0.09450223,0.8958549246269186,0.07808205235755247,0.6499999761581421,1.0
19,38912,2484.7032209114677,15,0.9233516510371323,0.07534737489470646,0.699999988079071,1.0,11.56043956043956,4.780245042247257,6.0,42.0,0.9636429622769356,0.9164470583200455,0.0029513900299207307,0.002065195076283999,0.1273867,0.9233516510371323,0.07534737489470646,0.699999988079071,1.0
